id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse221_vert-8,1.010,1.900,1.660,2.000,0.830,0.650,0.020
sub-verse402_split-verse251_vert-10,0.720,0.510,1.850,2.250,0.470,2.170,0.790
sub-verse402_split-verse251_vert-12,7.370,15.490,0.230,0.950,0.820,0.270,0.650
sub-verse402_split-verse251_vert-13,6.980,12.790,1.180,1.030,0.050,0.820,0.940
sub-verse402_split-verse251_vert-11,0.160,4.960,2.320,1.850,0.050,0.300,0.820
sub-verse402_split-verse251_vert-14,5.500,17.520,1.320,1.620,1.360,2.040,0.240
sub-verse402_split-verse251_vert-16,0.340,87.000,0.510,0.850,1.130,3.590,0.750
sub-verse402_split-verse251_vert-15,4.940,10.130,0.070,1.860,1.830,3.500,0.190
sub-verse402_split-verse251_vert-18,2.990,119.500,0.560,0.130,0.080,0.440,0.620
sub-verse402_split-verse251_vert-17,0.160,106.290,0.470,1.110,2.280,1.340,0.550
sub-verse402_split-verse251_vert-19,1.230,10.880,3.250,2.090,4.230,1.340,0.570
sub-verse402_split-verse251_vert-20,2.210,10.940,2.370,1.090,2.760,0.950,0.150
sub-verse402_split-verse251_vert-21,0.090,2.330,0.620,0.260,0.700,1.430,0.740
sub-verse402_split-verse251_vert-6,2.690,14.090,2.890,0.400,4.600,0.640,1.220
sub-verse402_split-verse251_vert-7,3.030,2.860,0.360,1.070,2.870,1.730,0.090
sub-verse402_split-verse251_vert-22,2.420,1.860,0.290,0.870,1.630,1.600,0.530
sub-verse402_split-verse251_vert-8,0.600,56.680,0.300,0.880,2.920,4.100,1.410
sub-verse402_split-verse251_vert-9,5.000,48.850,3.750,3.250,6.290,0.910,0.760
sub-verse402_split-verse251_vert-24,7.710,42.820,2.260,2.250,5.150,0.570,2.980
sub-verse406_split-verse261_vert-10,1.940,13.680,0.750,0.290,1.950,0.280,0.310
sub-verse406_split-verse261_vert-11,9.030,6.200,0.710,0.590,2.390,3.520,0.150
sub-verse406_split-verse261_vert-13,6.930,8.640,2.500,0.520,1.680,1.770,0.910
sub-verse406_split-verse261_vert-12,1.730,6.860,0.910,0.740,2.020,2.080,0.850
sub-verse406_split-verse261_vert-14,5.960,10.020,0.340,0.460,1.910,0.960,0.830
sub-verse406_split-verse261_vert-16,3.160,22.080,0.280,1.360,0.840,3.390,0.840
sub-verse406_split-verse261_vert-19,7.890,64.020,0.490,3.020,1.590,1.310,1.330
sub-verse406_split-verse261_vert-21,0.840,1.480,0.520,0.310,0.670,1.020,0.320
sub-verse406_split-verse261_vert-18,4.820,44.630,0.880,0.840,4.650,3.140,4.090
sub-verse406_split-verse261_vert-20,5.200,11.220,2.920,3.070,0.740,0.850,0.000
sub-verse406_split-verse261_vert-22,1.100,1.620,0.600,0.850,14.580,2.930,1.420
sub-verse406_split-verse261_vert-23,0.510,3.290,0.950,2.180,0.570,0.930,0.630
sub-verse406_split-verse261_vert-24,3.640,15.440,0.480,1.150,1.890,4.230,0.620
sub-verse406_split-verse261_vert-7,18.190,75.670,1.070,1.800,0.450,0.100,3.210
sub-verse406_split-verse261_vert-9,2.450,81.960,2.930,1.360,3.030,1.380,0.230
sub-verse409_split-verse266_vert-10,1.730,7.640,1.020,0.400,2.780,2.130,0.030
sub-verse409_split-verse266_vert-11,6.090,38.910,1.030,0.750,3.530,0.780,0.870
