id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse402_split-verse251_vert-13,15.370,18.180,0.410,0.170,0.740,0.110,0.000
sub-verse402_split-verse251_vert-10,3.560,4.160,2.430,1.150,0.340,1.890,0.130
sub-verse402_split-verse251_vert-14,11.810,10.170,0.950,1.350,1.300,1.200,0.000
sub-verse402_split-verse251_vert-11,0.230,16.510,2.080,1.720,0.440,1.160,0.290
sub-verse402_split-verse251_vert-16,2.090,0.710,0.950,2.050,0.340,2.960,0.190
sub-verse402_split-verse251_vert-15,3.090,3.890,0.140,0.730,1.520,1.880,0.030
sub-verse402_split-verse251_vert-17,0.910,106.750,1.140,1.430,0.790,1.070,0.580
sub-verse402_split-verse251_vert-18,3.780,120.120,1.030,0.420,0.690,1.310,0.270
sub-verse402_split-verse251_vert-19,2.540,6.330,1.410,0.620,0.190,1.360,0.540
sub-verse402_split-verse251_vert-21,0.020,10.070,0.260,0.370,2.370,2.200,0.020
sub-verse402_split-verse251_vert-20,1.690,10.110,1.190,0.010,1.000,1.080,0.440
sub-verse402_split-verse251_vert-6,1.380,1.980,1.800,1.770,5.580,0.250,1.470
sub-verse402_split-verse251_vert-7,1.770,0.470,1.160,0.570,0.520,0.300,0.080
sub-verse402_split-verse251_vert-22,0.500,74.900,0.020,1.610,1.140,0.750,0.260
sub-verse402_split-verse251_vert-24,10.890,38.930,3.320,4.770,0.270,2.350,1.260
sub-verse402_split-verse251_vert-9,9.120,36.230,4.280,5.430,5.840,3.260,0.840
sub-verse402_split-verse251_vert-8,0.000,55.370,0.020,1.600,3.820,1.390,2.180
sub-verse406_split-verse261_vert-10,1.480,0.860,1.840,1.400,0.610,0.510,0.700
sub-verse406_split-verse261_vert-11,2.970,11.430,1.090,0.990,1.370,3.270,1.140
sub-verse406_split-verse261_vert-13,3.670,73.390,1.620,0.110,1.880,1.560,1.930
sub-verse406_split-verse261_vert-12,2.130,0.320,0.360,0.910,1.570,3.460,1.630
sub-verse406_split-verse261_vert-14,5.010,5.660,0.870,0.410,1.300,0.060,2.160
sub-verse406_split-verse261_vert-16,9.230,28.310,2.510,4.990,3.160,0.730,0.880
sub-verse406_split-verse261_vert-19,5.960,14.970,0.130,0.240,0.170,0.140,2.300
sub-verse406_split-verse261_vert-20,5.990,27.540,4.230,2.820,0.200,0.670,1.320
sub-verse406_split-verse261_vert-21,1.670,7.280,1.060,0.940,0.010,1.810,0.190
sub-verse406_split-verse261_vert-22,0.690,1.390,1.270,0.300,3.380,2.360,0.620
sub-verse406_split-verse261_vert-23,0.020,6.230,1.720,3.020,0.950,1.070,0.390
sub-verse406_split-verse261_vert-7,6.980,4.190,0.120,0.550,1.680,0.510,1.780
sub-verse406_split-verse261_vert-24,2.070,11.210,2.660,1.800,0.920,1.080,0.170
sub-verse409_split-verse266_vert-10,1.890,54.000,0.580,0.840,3.680,1.580,1.020
sub-verse406_split-verse261_vert-25,0.430,32.230,1.480,1.850,1.420,3.780,0.390
sub-verse406_split-verse261_vert-8,11.690,43.640,3.140,2.630,3.630,5.300,0.670
sub-verse406_split-verse261_vert-9,2.170,86.710,4.190,2.360,1.750,1.640,1.080
sub-verse409_split-verse266_vert-11,7.080,42.450,2.180,0.760,0.200,1.160,1.290
sub-verse409_split-verse266_vert-12,0.690,53.720,2.260,1.810,2.630,1.720,0.300
sub-verse409_split-verse266_vert-13,10.640,40.530,3.630,1.980,2.590,0.370,0.170
sub-verse409_split-verse266_vert-14,18.210,2.750,0.190,3.420,6.010,4.780,1.720
sub-verse409_split-verse266_vert-15,13.050,12.730,0.220,0.060,2.770,4.930,0.850
sub-verse409_split-verse266_vert-16,6.770,19.410,0.400,2.970,4.140,1.610,0.220
sub-verse409_split-verse266_vert-17,4.870,26.640,0.520,0.210,5.340,2.590,1.360
sub-verse409_split-verse266_vert-23,7.430,29.770,7.040,4.510,7.460,6.860,2.650
sub-verse409_split-verse266_vert-8,2.830,7.010,2.020,1.060,2.110,1.040,1.600
sub-verse409_split-verse266_vert-22,5.860,11.330,0.450,0.950,1.480,4.070,0.750
sub-verse410_split-verse227_vert-4,5.780,92.430,2.350,1.970,1.300,2.260,0.430
sub-verse410_split-verse227_vert-2,0.340,23.270,0.530,3.170,2.090,3.780,1.080
sub-verse409_split-verse266_vert-9,0.920,13.280,1.250,1.030,2.720,0.200,0.120
sub-verse410_split-verse227_vert-3,6.240,26.310,1.220,0.670,7.220,8.630,1.070
sub-verse409_split-verse266_vert-24,2.740,5.080,1.970,0.360,1.440,1.120,1.320
sub-verse410_split-verse227_vert-7,2.770,8.290,1.980,2.620,1.030,1.030,1.890
sub-verse410_split-verse227_vert-5,2.550,80.450,2.140,3.410,1.120,1.950,0.240
sub-verse410_split-verse227_vert-6,1.210,5.710,0.900,0.660,1.120,0.850,0.200
sub-verse410_split-verse227_vert-8,1.860,16.800,3.520,2.650,1.320,0.600,1.100
sub-verse410_split-verse267_vert-10,9.310,53.100,0.720,0.980,2.130,0.040,0.780
sub-verse410_split-verse267_vert-11,0.440,56.170,0.370,2.280,2.680,5.120,0.240
sub-verse410_split-verse267_vert-13,2.430,0.290,0.190,0.500,2.110,1.800,0.140
sub-verse410_split-verse267_vert-14,0.250,6.870,0.520,0.340,1.680,2.080,0.020
sub-verse410_split-verse267_vert-12,12.750,11.530,1.600,0.480,4.110,4.430,0.050
sub-verse410_split-verse267_vert-15,0.160,2.450,2.550,1.360,0.190,0.690,0.050
sub-verse410_split-verse267_vert-16,0.770,11.910,2.870,1.620,1.830,9.780,0.900
sub-verse410_split-verse267_vert-17,0.690,3.570,2.220,0.390,1.000,0.390,0.000
sub-verse410_split-verse267_vert-18,0.740,2.280,0.820,0.040,0.950,0.750,0.480
sub-verse410_split-verse267_vert-19,0.600,2.330,1.010,0.200,3.930,0.110,0.290
sub-verse410_split-verse267_vert-23,4.380,24.230,1.560,0.030,2.300,0.050,1.520
sub-verse410_split-verse267_vert-20,0.830,1.420,2.060,1.750,2.130,0.480,1.100
sub-verse410_split-verse267_vert-22,4.480,9.150,0.620,1.080,0.330,3.720,0.260
sub-verse410_split-verse267_vert-21,0.230,17.540,0.820,0.900,7.150,2.990,0.920
sub-verse410_split-verse267_vert-8,0.150,74.600,1.180,0.010,0.270,1.070,0.990
sub-verse410_split-verse267_vert-24,5.310,9.250,1.100,1.050,3.300,2.100,0.890
sub-verse410_split-verse267_vert-9,2.410,96.950,1.660,1.050,0.560,0.210,0.830
