subject-id,DSC,ASD,HD95,NSD,model
s0425_rib_msk,0.49,1.2,4.58,0.44,UNETR
s0425_rib_msk,0.57,0.94,2.45,0.53,TwoDPermuteConcat
s0425_rib_msk,0.43,1.33,4.9,0.39,TLPredictor
s0425_rib_msk,0.58,0.91,2.83,0.52,UNet
s0425_rib_msk,0.53,1.01,5.74,0.48,MultiScale2DPermuteConcat
s0425_rib_msk,0.37,1.57,12.37,0.35,OneDConcat
s0737_rib_msk,0.22,2.08,5.83,0.32,TLPredictor
s0737_rib_msk,0.45,1.19,5.17,0.51,MultiScale2DPermuteConcat
s0737_rib_msk,0.24,1.75,16.19,0.3,OneDConcat
s0737_rib_msk,0.49,0.89,3.32,0.55,AttentionUnet
s0737_rib_msk,0.45,1.15,3.0,0.55,TwoDPermuteConcat
s0737_rib_msk,0.42,1.26,3.32,0.5,UNet
s0737_rib_msk,0.39,1.32,5.83,0.46,UNETR
s0918_rib_msk,0.56,0.92,3.32,0.48,TwoDPermuteConcat
s0918_rib_msk,0.41,1.35,4.12,0.37,TLPredictor
s0918_rib_msk,0.47,1.21,5.2,0.41,MultiScale2DPermuteConcat
s0918_rib_msk,0.58,0.91,3.16,0.51,UNet
s0918_rib_msk,0.34,1.68,12.73,0.32,OneDConcat
s0918_rib_msk,0.62,0.67,2.45,0.55,AttentionUnet
s0918_rib_msk,0.48,1.14,5.39,0.4,UNETR
s0743_rib_msk,0.51,1.12,3.0,0.52,UNet
s0743_rib_msk,0.56,0.94,8.49,0.52,MultiScale2DPermuteConcat
s0743_rib_msk,0.56,0.92,2.83,0.55,AttentionUnet
s0743_rib_msk,0.56,0.97,3.16,0.53,TwoDPermuteConcat
s0743_rib_msk,0.3,1.77,7.28,0.31,TLPredictor
s0743_rib_msk,0.21,2.2,23.28,0.24,OneDConcat
s0743_rib_msk,0.31,2.07,8.54,0.32,UNETR
s0919_rib_msk,0.38,1.37,13.42,0.37,UNETR
s0919_rib_msk,0.49,1.06,9.11,0.5,MultiScale2DPermuteConcat
s0919_rib_msk,0.45,1.21,4.12,0.47,UNet
s0919_rib_msk,0.49,0.93,4.58,0.51,AttentionUnet
s0919_rib_msk,0.41,1.32,4.47,0.47,TwoDPermuteConcat
s0919_rib_msk,0.27,1.74,9.44,0.31,TLPredictor
s0919_rib_msk,0.24,1.77,21.28,0.28,OneDConcat
s0095_rib_msk,0.39,1.98,12.76,0.34,MultiScale2DPermuteConcat
s0095_rib_msk,0.36,2.23,7.28,0.36,UNet
s0095_rib_msk,0.37,2.07,6.16,0.38,TwoDPermuteConcat
s0095_rib_msk,0.26,2.2,16.97,0.27,OneDConcat
s0095_rib_msk,0.3,2.14,9.0,0.28,UNETR
s0095_rib_msk,0.18,2.46,11.36,0.19,TLPredictor
s0095_rib_msk,0.34,2.13,5.92,0.33,AttentionUnet
s1380_rib_msk,0.3,1.45,18.41,0.31,OneDConcat
s1380_rib_msk,0.58,0.65,3.46,0.6,AttentionUnet
s1380_rib_msk,0.53,0.96,3.61,0.54,UNet
s1380_rib_msk,0.35,1.44,6.4,0.35,TLPredictor
s1380_rib_msk,0.52,0.99,5.74,0.54,MultiScale2DPermuteConcat
s1380_rib_msk,0.42,1.19,5.25,0.44,UNETR
s1380_rib_msk,0.53,1.03,3.74,0.56,TwoDPermuteConcat
s1330_rib_msk,0.61,0.82,2.45,0.51,TwoDPermuteConcat
s1330_rib_msk,0.64,0.7,2.45,0.56,AttentionUnet
s1330_rib_msk,0.36,1.61,14.35,0.31,OneDConcat
s1330_rib_msk,0.61,0.84,8.12,0.52,MultiScale2DPermuteConcat
s1330_rib_msk,0.56,0.95,2.45,0.47,UNet
s1330_rib_msk,0.42,1.31,9.95,0.34,UNETR
s1330_rib_msk,0.37,1.53,5.0,0.34,TLPredictor
s0386_rib_msk,0.0,25.91,42.08,0.03,OneDConcat
s0386_rib_msk,0.19,11.32,32.76,0.36,UNet
