id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse402_split-verse251_vert-10,7.190,7.730,2.030,0.870,2.120,1.360,0.570
sub-verse402_split-verse251_vert-12,1.540,14.370,0.940,0.640,0.820,0.030,1.780
sub-verse402_split-verse251_vert-13,6.160,35.420,0.570,1.190,0.010,2.650,1.250
sub-verse402_split-verse251_vert-15,5.590,16.780,0.230,2.270,0.280,1.730,0.050
sub-verse402_split-verse251_vert-14,4.440,15.120,0.460,1.380,1.910,0.720,1.990
sub-verse402_split-verse251_vert-18,2.370,0.010,0.520,0.110,0.100,0.690,0.700
sub-verse402_split-verse251_vert-16,1.690,2.220,0.130,2.280,0.760,0.330,0.830
sub-verse402_split-verse251_vert-17,1.490,6.130,0.410,2.060,1.940,0.150,0.510
sub-verse402_split-verse251_vert-19,4.840,37.580,0.290,0.290,2.420,0.190,1.080
sub-verse402_split-verse251_vert-20,1.420,19.460,0.230,1.330,3.080,1.540,1.000
sub-verse402_split-verse251_vert-21,0.050,72.200,1.130,0.350,0.570,3.470,0.000
sub-verse402_split-verse251_vert-6,0.640,30.370,1.010,0.980,0.870,0.240,0.210
sub-verse402_split-verse251_vert-24,8.120,69.210,3.030,0.800,1.310,1.650,2.260
sub-verse402_split-verse251_vert-22,4.210,55.100,0.760,0.440,1.720,3.650,1.080
sub-verse402_split-verse251_vert-7,1.060,20.510,0.680,0.690,0.020,0.340,0.240
sub-verse402_split-verse251_vert-9,2.320,7.460,2.230,1.460,1.690,1.220,0.910
sub-verse402_split-verse251_vert-8,0.400,78.120,0.670,0.360,4.620,0.590,1.640
sub-verse406_split-verse261_vert-10,1.400,104.450,2.070,2.080,1.250,1.740,0.520
sub-verse406_split-verse261_vert-11,3.470,9.210,0.500,0.030,3.140,1.590,0.330
sub-verse406_split-verse261_vert-12,1.530,12.850,1.200,1.430,2.410,0.680,0.230
sub-verse406_split-verse261_vert-13,1.420,0.270,1.420,0.240,2.120,3.990,0.230
sub-verse406_split-verse261_vert-14,1.870,69.530,0.050,1.610,0.280,0.490,1.400
sub-verse406_split-verse261_vert-16,10.650,23.520,0.350,3.250,3.410,4.400,0.620
sub-verse406_split-verse261_vert-18,7.240,15.840,2.640,0.930,2.490,2.230,2.590
sub-verse406_split-verse261_vert-19,5.680,47.400,3.140,1.250,0.310,0.730,1.200
sub-verse406_split-verse261_vert-21,2.950,5.620,3.210,1.560,0.760,0.320,0.870
sub-verse406_split-verse261_vert-22,0.130,8.130,3.520,1.260,2.330,1.270,1.410
sub-verse406_split-verse261_vert-20,6.260,10.960,0.670,2.130,0.240,0.250,0.800
sub-verse406_split-verse261_vert-23,0.030,20.220,0.640,1.160,0.010,2.900,0.140
sub-verse406_split-verse261_vert-24,3.090,18.360,1.130,1.030,1.370,3.410,0.180
sub-verse406_split-verse261_vert-9,1.070,0.770,0.020,1.600,0.110,0.300,0.460
sub-verse406_split-verse261_vert-25,0.600,20.410,0.590,0.210,2.100,2.610,1.100
sub-verse406_split-verse261_vert-7,2.420,114.900,0.700,0.040,1.800,0.030,0.720
sub-verse409_split-verse266_vert-10,9.430,46.940,0.940,1.750,4.100,1.990,0.410
sub-verse406_split-verse261_vert-8,4.750,22.480,2.430,1.640,3.190,2.560,0.010
sub-verse409_split-verse266_vert-11,2.950,30.860,1.890,1.020,0.540,1.490,0.840
sub-verse409_split-verse266_vert-19,2.650,9.980,1.980,2.210,0.880,0.640,1.980
sub-verse409_split-verse266_vert-24,2.050,5.570,0.600,1.360,5.470,0.110,1.970
sub-verse409_split-verse266_vert-8,0.030,6.270,1.280,0.350,1.610,1.720,0.090
sub-verse409_split-verse266_vert-9,0.570,10.000,0.200,0.590,0.080,1.350,0.710
sub-verse409_split-verse266_vert-22,9.840,11.690,0.670,0.670,0.560,3.800,0.090
sub-verse410_split-verse227_vert-2,1.450,4.780,2.000,1.150,3.540,1.340,2.480
sub-verse410_split-verse227_vert-3,1.120,12.210,1.670,3.470,5.450,0.710,0.610
sub-verse409_split-verse266_vert-23,9.850,49.760,0.740,4.220,6.910,6.540,1.630
sub-verse410_split-verse227_vert-4,0.480,65.260,0.560,2.200,0.340,2.880,0.580
sub-verse410_split-verse227_vert-5,2.610,95.120,1.040,2.740,0.790,3.900,1.430
sub-verse410_split-verse267_vert-10,2.500,7.720,0.200,3.380,1.750,1.160,0.130
sub-verse410_split-verse227_vert-6,0.150,1.710,0.250,0.420,0.160,0.610,1.910
