subject-id,DSC,ASD,HD95,NSD,model
s1247_femur_left_msk,0.95,0.67,2.24,0.93,UNet
s1247_femur_left_msk,0.95,0.69,2.0,0.93,TwoDPermuteConcat
s1247_femur_left_msk,0.95,0.74,2.24,0.9,MultiScale2DPermuteConcat
s1247_femur_left_msk,0.95,0.7,2.24,0.94,AttentionUnet
s1247_femur_right_msk,0.94,0.72,2.24,0.9,TwoDPermuteConcat
s1247_femur_right_msk,0.95,0.69,2.24,0.91,UNet
s1247_femur_right_msk,0.94,0.79,2.24,0.88,MultiScale2DPermuteConcat
s1247_femur_right_msk,0.9,1.27,4.24,0.69,OneDConcat
s1247_femur_right_msk,0.92,0.98,3.16,0.79,TLPredictor
s1247_femur_right_msk,0.94,0.75,2.24,0.9,AttentionUnet
s1247_femur_right_msk,0.92,0.97,3.16,0.79,UNETR
s0648_femur_left_msk,0.95,0.85,2.24,0.89,MultiScale2DPermuteConcat
s0648_femur_left_msk,0.94,0.92,2.83,0.86,UNETR
s0648_femur_left_msk,0.95,0.73,2.0,0.93,TwoDPermuteConcat
s0648_femur_left_msk,0.93,1.13,2.83,0.79,OneDConcat
s0648_femur_left_msk,0.96,0.63,1.73,0.96,UNet
s0648_femur_left_msk,0.95,0.71,2.0,0.94,AttentionUnet
s0648_femur_left_msk,0.93,1.0,2.83,0.86,TLPredictor
s0648_femur_right_msk,0.9,1.49,3.74,0.65,OneDConcat
s0648_femur_right_msk,0.94,0.96,2.83,0.88,AttentionUnet
s0648_femur_right_msk,0.95,0.8,2.24,0.93,UNet
s0648_femur_right_msk,0.93,1.05,3.0,0.83,TLPredictor
s0648_femur_right_msk,0.94,0.87,2.45,0.88,UNETR
s0648_femur_right_msk,0.94,0.84,2.24,0.91,TwoDPermuteConcat
s0648_femur_right_msk,0.94,0.9,2.24,0.86,MultiScale2DPermuteConcat
s1069_femur_left_msk,0.94,0.97,3.0,0.86,TLPredictor
s1069_femur_left_msk,0.94,0.83,2.24,0.89,UNet
s1069_femur_left_msk,0.94,0.86,2.83,0.87,UNETR
s1069_femur_left_msk,0.94,0.86,2.45,0.87,AttentionUnet
s1069_femur_left_msk,0.95,0.82,2.24,0.9,TwoDPermuteConcat
s1069_femur_left_msk,0.95,0.82,2.24,0.88,MultiScale2DPermuteConcat
s1069_femur_left_msk,0.92,1.25,3.46,0.78,OneDConcat
s1069_femur_right_msk,0.93,0.99,3.0,0.84,UNETR
s1069_femur_right_msk,0.95,0.79,2.24,0.9,TwoDPermuteConcat
s1069_femur_right_msk,0.93,1.11,3.46,0.8,OneDConcat
s1069_femur_right_msk,0.95,0.77,2.24,0.89,MultiScale2DPermuteConcat
s1069_femur_right_msk,0.95,0.8,2.24,0.9,AttentionUnet
s1069_femur_right_msk,0.95,0.73,2.24,0.92,UNet
s1069_femur_right_msk,0.93,1.12,3.0,0.81,TLPredictor
s0210_femur_left_msk,0.92,1.09,3.32,0.78,TLPredictor
s0210_femur_left_msk,0.94,0.9,2.83,0.84,MultiScale2DPermuteConcat
s0210_femur_left_msk,0.94,0.85,2.45,0.86,TwoDPermuteConcat
s0210_femur_left_msk,0.92,1.08,3.32,0.77,UNETR
s0210_femur_left_msk,0.94,0.84,2.45,0.88,AttentionUnet
s0210_femur_left_msk,0.94,0.79,2.45,0.88,UNet
s0210_femur_left_msk,0.88,1.69,5.39,0.55,OneDConcat
s0210_femur_right_msk,0.87,4.61,40.77,0.59,MultiScale2DPermuteConcat
s0210_femur_right_msk,0.93,0.95,3.61,0.77,TwoDPermuteConcat
s0210_femur_right_msk,0.8,2.79,8.77,0.36,OneDConcat
s0210_femur_right_msk,0.92,1.1,3.61,0.76,AttentionUnet
s0210_femur_right_msk,0.91,1.13,4.12,0.72,UNet
s0210_femur_right_msk,0.83,3.13,8.66,0.44,TLPredictor
s0210_femur_right_msk,0.86,1.97,6.32,0.56,UNETR
s0885_femur_left_msk,0.9,1.43,4.58,0.62,OneDConcat
s0885_femur_left_msk,0.92,1.08,5.0,0.77,UNet
