subject-id,DSC,ASD,HD95,NSD,model
s0668_hip_msk,0.85,0.79,2.45,0.53,SwinUNETR
s0668_hip_msk,0.79,1.04,4.12,0.4,TLPredictor
s0468_hip_msk,0.86,0.87,2.83,0.48,SwinUNETR
s0468_hip_msk,0.79,1.14,4.58,0.35,TLPredictor
s0468_hip_msk,0.82,0.98,4.0,0.4,MultiScale2DPermuteConcat
s0468_hip_msk,0.81,1.04,3.74,0.38,UNETR
s0468_hip_msk,0.81,1.07,4.0,0.36,OneDConcat
s0468_hip_msk,0.84,0.89,3.0,0.44,AttentionUnet
s0468_hip_msk,0.84,0.92,3.0,0.41,TwoDPermuteConcat
s0468_hip_msk,0.84,0.95,3.32,0.41,UNet
s0250_hip_msk,0.76,1.28,4.12,0.31,OneDConcat
s0250_hip_msk,0.85,0.9,2.83,0.48,SwinUNETR
s0250_hip_msk,0.85,0.81,2.45,0.5,AttentionUnet
s0250_hip_msk,0.81,1.08,3.61,0.41,UNETR
s0250_hip_msk,0.84,0.88,3.16,0.45,MultiScale2DPermuteConcat
s0250_hip_msk,0.84,0.85,3.0,0.46,TwoDPermuteConcat
s0250_hip_msk,0.81,0.99,4.12,0.38,TLPredictor
s0250_hip_msk,0.83,1.01,3.74,0.42,UNet
s0726_hip_msk,0.84,0.92,2.45,0.48,SwinUNETR
s0726_hip_msk,0.8,1.1,3.16,0.37,UNet
s0726_hip_msk,0.82,0.94,3.0,0.42,UNETR
s0726_hip_msk,0.82,0.94,2.83,0.46,AttentionUnet
s0726_hip_msk,0.84,0.89,2.45,0.46,TwoDPermuteConcat
s0726_hip_msk,0.77,1.25,4.12,0.32,TLPredictor
s0726_hip_msk,0.86,0.82,2.45,0.52,MultiScale2DPermuteConcat
s0726_hip_msk,0.79,1.21,3.16,0.34,OneDConcat
s1347_hip_msk,0.9,0.59,2.0,0.65,SwinUNETR
s1347_hip_msk,0.82,0.93,3.46,0.42,OneDConcat
s1347_hip_msk,0.88,0.68,2.24,0.56,TwoDPermuteConcat
s1347_hip_msk,0.87,0.77,2.83,0.51,UNet
s1347_hip_msk,0.88,0.69,2.83,0.56,MultiScale2DPermuteConcat
s1347_hip_msk,0.87,0.73,2.45,0.54,UNETR
s1347_hip_msk,0.89,0.67,2.24,0.59,AttentionUnet
s1347_hip_msk,0.84,0.93,3.32,0.44,TLPredictor
s1044_hip_msk,0.89,0.64,3.0,0.57,UNETR
s1044_hip_msk,0.88,0.7,2.45,0.55,MultiScale2DPermuteConcat
s1044_hip_msk,0.9,0.57,2.24,0.64,AttentionUnet
s1044_hip_msk,0.85,0.86,3.46,0.46,OneDConcat
s1044_hip_msk,0.9,0.62,2.24,0.61,SwinUNETR
s1044_hip_msk,0.89,0.64,2.45,0.57,TwoDPermuteConcat
s1044_hip_msk,0.88,0.69,3.0,0.54,TLPredictor
s1044_hip_msk,0.9,0.59,2.83,0.61,UNet
s1016_hip_msk,0.84,0.93,3.61,0.39,UNETR
s1016_hip_msk,0.8,1.12,4.12,0.33,OneDConcat
s1016_hip_msk,0.85,0.86,3.0,0.44,AttentionUnet
s1016_hip_msk,0.83,0.95,3.74,0.39,MultiScale2DPermuteConcat
s1016_hip_msk,0.85,0.84,3.0,0.44,TwoDPermuteConcat
s1016_hip_msk,0.85,0.87,3.61,0.41,UNet
s1016_hip_msk,0.85,0.88,3.0,0.44,SwinUNETR
s1016_hip_msk,0.73,1.41,4.9,0.25,TLPredictor
s0592_hip_msk,0.77,1.3,4.12,0.37,TLPredictor
s0592_hip_msk,0.84,0.89,3.0,0.5,MultiScale2DPermuteConcat
s0592_hip_msk,0.81,1.28,4.24,0.47,UNETR
s0592_hip_msk,0.84,0.88,2.45,0.52,AttentionUnet
s0592_hip_msk,0.85,0.83,2.83,0.55,SwinUNETR
s0592_hip_msk,0.8,1.08,3.0,0.39,OneDConcat
s0592_hip_msk,0.79,1.03,3.0,0.37,TwoDPermuteConcat
s0592_hip_msk,0.83,1.02,3.0,0.49,UNet
s0091_hip_msk,0.88,0.74,3.0,0.52,MultiScale2DPermuteConcat
s0091_hip_msk,0.84,0.89,3.0,0.44,UNETR
s0091_hip_msk,0.88,0.72,2.24,0.54,SwinUNETR
s0091_hip_msk,0.84,0.89,3.61,0.43,OneDConcat
s0091_hip_msk,0.86,0.83,2.83,0.46,TwoDPermuteConcat
s0091_hip_msk,0.88,0.69,2.24,0.55,AttentionUnet
s0091_hip_msk,0.88,0.75,3.16,0.5,UNet
s0091_hip_msk,0.84,0.98,3.46,0.43,TLPredictor
s1336_hip_msk,0.9,0.54,2.0,0.65,AttentionUnet
s1336_hip_msk,0.88,0.63,2.45,0.57,UNETR
s1336_hip_msk,0.88,0.67,2.83,0.57,UNet
s1336_hip_msk,0.88,0.61,2.24,0.59,TwoDPermuteConcat
s1336_hip_msk,0.89,0.6,2.45,0.6,MultiScale2DPermuteConcat
s1336_hip_msk,0.85,0.79,3.16,0.48,OneDConcat
s1336_hip_msk,0.9,0.56,2.0,0.65,SwinUNETR
s1336_hip_msk,0.83,0.91,3.0,0.44,TLPredictor
s0505_hip_msk,0.89,0.65,3.0,0.55,UNet
s0505_hip_msk,0.84,0.92,3.74,0.44,TLPredictor
s0505_hip_msk,0.89,0.68,2.24,0.59,SwinUNETR
s0505_hip_msk,0.88,0.69,3.0,0.54,MultiScale2DPermuteConcat
s0505_hip_msk,0.88,0.68,2.24,0.55,AttentionUnet
s0505_hip_msk,0.88,0.73,2.45,0.51,TwoDPermuteConcat
s0505_hip_msk,0.85,0.84,3.74,0.43,OneDConcat
s0505_hip_msk,0.87,0.76,3.0,0.49,UNETR
s0483_hip_msk,0.8,1.1,3.61,0.39,UNet
s0483_hip_msk,0.85,0.84,2.83,0.45,TwoDPermuteConcat
s0483_hip_msk,0.81,0.95,3.61,0.43,MultiScale2DPermuteConcat
s0483_hip_msk,0.73,1.43,4.12,0.28,OneDConcat
s0483_hip_msk,0.72,1.37,5.74,0.26,TLPredictor
s0483_hip_msk,0.78,1.11,4.12,0.37,UNETR
s0483_hip_msk,0.81,0.94,3.32,0.43,AttentionUnet
s0483_hip_msk,0.81,1.05,3.16,0.41,SwinUNETR
s0314_hip_msk,0.85,0.86,3.32,0.44,UNet
s0314_hip_msk,0.86,0.76,2.45,0.5,TwoDPermuteConcat
s0314_hip_msk,0.77,1.23,3.61,0.32,OneDConcat
s0314_hip_msk,0.85,0.83,2.45,0.48,SwinUNETR
s0314_hip_msk,0.87,0.69,3.0,0.53,MultiScale2DPermuteConcat
s0314_hip_msk,0.84,0.88,3.32,0.44,UNETR
s0314_hip_msk,0.85,0.76,2.45,0.49,AttentionUnet
s0314_hip_msk,0.79,1.03,4.58,0.34,TLPredictor
s0940_hip_msk,0.88,0.67,2.83,0.56,MultiScale2DPermuteConcat
s0940_hip_msk,0.85,0.89,3.16,0.47,UNet
s0940_hip_msk,0.86,0.77,2.45,0.5,TwoDPermuteConcat
s0940_hip_msk,0.82,0.97,3.32,0.37,OneDConcat
s0940_hip_msk,0.87,0.71,2.24,0.57,SwinUNETR
s0940_hip_msk,0.86,0.83,3.0,0.47,TLPredictor
s0940_hip_msk,0.86,0.75,2.24,0.56,AttentionUnet
s0940_hip_msk,0.84,0.86,3.0,0.47,UNETR
s0928_hip_msk,0.81,1.0,3.61,0.39,UNet
s0928_hip_msk,0.83,0.88,2.83,0.42,TwoDPermuteConcat
s0928_hip_msk,0.86,0.93,2.45,0.5,AttentionUnet
s0928_hip_msk,0.8,1.04,3.74,0.38,UNETR
s0928_hip_msk,0.78,1.15,3.61,0.35,MultiScale2DPermuteConcat
s0928_hip_msk,0.71,1.57,5.2,0.25,TLPredictor
s0928_hip_msk,0.83,1.05,3.0,0.46,SwinUNETR
s0928_hip_msk,0.73,1.39,5.2,0.29,OneDConcat
s0049_hip_msk,0.82,1.02,3.61,0.46,MultiScale2DPermuteConcat
s0049_hip_msk,0.75,1.39,4.12,0.31,UNETR
s0049_hip_msk,0.83,0.97,3.16,0.43,TwoDPermuteConcat
s0049_hip_msk,0.8,1.17,3.74,0.41,UNet
s0049_hip_msk,0.82,0.97,3.0,0.44,AttentionUnet
s0049_hip_msk,0.83,0.99,3.0,0.46,SwinUNETR
s0049_hip_msk,0.76,1.32,4.36,0.32,TLPredictor
s0049_hip_msk,0.78,1.16,3.74,0.34,OneDConcat
s0636_hip_msk,0.86,0.77,2.83,0.53,UNet
s0636_hip_msk,0.74,1.27,4.12,0.29,TLPredictor
s0636_hip_msk,0.83,0.85,3.0,0.46,MultiScale2DPermuteConcat
s0636_hip_msk,0.85,0.74,2.24,0.51,TwoDPermuteConcat
s0636_hip_msk,0.76,1.13,4.24,0.37,OneDConcat
s0636_hip_msk,0.87,0.67,2.24,0.57,AttentionUnet
s0636_hip_msk,0.87,0.66,2.24,0.58,SwinUNETR
s0636_hip_msk,0.81,0.93,3.0,0.43,UNETR
s0728_hip_msk,0.8,0.91,3.74,0.43,UNETR
s0728_hip_msk,0.85,0.72,3.46,0.56,MultiScale2DPermuteConcat
s0728_hip_msk,0.83,0.77,3.0,0.51,AttentionUnet
s0728_hip_msk,0.83,0.81,3.0,0.52,SwinUNETR
s0728_hip_msk,0.77,1.17,4.0,0.36,OneDConcat
s0728_hip_msk,0.82,0.93,3.32,0.46,UNet
s0728_hip_msk,0.82,0.8,3.61,0.46,TwoDPermuteConcat
s0728_hip_msk,0.77,1.11,4.0,0.34,TLPredictor
s1348_hip_msk,0.85,0.82,3.0,0.48,MultiScale2DPermuteConcat
s1348_hip_msk,0.88,0.64,2.45,0.55,TwoDPermuteConcat
s1348_hip_msk,0.85,0.81,3.32,0.49,OneDConcat
s1348_hip_msk,0.88,0.66,3.32,0.56,UNet
s1348_hip_msk,0.85,0.85,3.61,0.46,TLPredictor
s1348_hip_msk,0.89,0.61,2.24,0.6,SwinUNETR
s1348_hip_msk,0.85,0.77,3.32,0.48,UNETR
s1348_hip_msk,0.89,0.58,2.24,0.62,AttentionUnet
s0600_hip_msk,0.8,1.09,3.61,0.33,OneDConcat
s0600_hip_msk,0.86,0.85,3.0,0.47,MultiScale2DPermuteConcat
s0600_hip_msk,0.87,0.84,3.0,0.48,UNet
s0600_hip_msk,0.88,0.68,2.24,0.55,AttentionUnet
s0600_hip_msk,0.86,0.81,3.16,0.47,UNETR
s0600_hip_msk,0.83,1.05,3.61,0.39,TLPredictor
s0600_hip_msk,0.86,0.79,2.45,0.48,TwoDPermuteConcat
s0600_hip_msk,0.89,0.66,2.24,0.56,SwinUNETR
s0163_hip_msk,0.76,1.39,4.12,0.34,UNETR
s0163_hip_msk,0.75,1.28,5.39,0.28,TLPredictor
s0163_hip_msk,0.78,1.1,4.0,0.36,UNet
s0163_hip_msk,0.76,1.22,4.12,0.31,OneDConcat
s0163_hip_msk,0.8,1.01,3.46,0.39,TwoDPermuteConcat
s0163_hip_msk,0.79,1.04,3.74,0.41,MultiScale2DPermuteConcat
s0163_hip_msk,0.79,0.96,3.74,0.4,AttentionUnet
s0163_hip_msk,0.78,1.15,5.0,0.39,SwinUNETR
s0772_hip_msk,0.79,1.2,3.46,0.34,TLPredictor
s0772_hip_msk,0.84,0.9,3.61,0.44,UNet
s0772_hip_msk,0.86,0.8,3.16,0.5,MultiScale2DPermuteConcat
s0772_hip_msk,0.79,1.03,4.58,0.36,OneDConcat
s0772_hip_msk,0.82,0.94,3.61,0.39,UNETR
s0772_hip_msk,0.85,0.8,3.0,0.49,AttentionUnet
s0772_hip_msk,0.86,0.79,2.45,0.48,TwoDPermuteConcat
s0772_hip_msk,0.85,0.86,2.45,0.47,SwinUNETR
s0680_hip_msk,0.88,0.7,2.83,0.56,MultiScale2DPermuteConcat
s0680_hip_msk,0.88,0.72,3.0,0.53,UNETR
s0680_hip_msk,0.88,0.67,2.45,0.55,TwoDPermuteConcat
s0680_hip_msk,0.9,0.56,2.24,0.64,SwinUNETR
s0680_hip_msk,0.89,0.65,3.0,0.57,UNet
s0680_hip_msk,0.9,0.61,2.24,0.61,AttentionUnet
s0680_hip_msk,0.85,0.87,3.0,0.44,OneDConcat
s0680_hip_msk,0.86,0.83,2.83,0.5,TLPredictor
s1008_hip_msk,0.87,0.68,2.24,0.57,MultiScale2DPermuteConcat
s1008_hip_msk,0.79,1.07,3.0,0.38,OneDConcat
s1008_hip_msk,0.85,0.79,2.24,0.49,TwoDPermuteConcat
s1008_hip_msk,0.85,0.78,3.0,0.5,UNETR
s1008_hip_msk,0.89,0.58,2.0,0.64,AttentionUnet
s1008_hip_msk,0.88,0.69,3.0,0.57,UNet
s1008_hip_msk,0.83,0.88,3.16,0.45,TLPredictor
s1008_hip_msk,0.89,0.65,2.0,0.63,SwinUNETR
s1322_hip_msk,0.88,0.64,2.24,0.58,TwoDPermuteConcat
s1322_hip_msk,0.85,0.83,2.83,0.49,TLPredictor
s1322_hip_msk,0.87,0.67,2.45,0.56,UNETR
s1322_hip_msk,0.89,0.59,1.73,0.64,SwinUNETR
s1322_hip_msk,0.88,0.65,2.24,0.57,MultiScale2DPermuteConcat
s1322_hip_msk,0.88,0.69,2.45,0.56,UNet
s1322_hip_msk,0.89,0.6,2.0,0.61,AttentionUnet
s1322_hip_msk,0.8,0.99,3.0,0.42,OneDConcat
s0931_hip_msk,0.79,1.12,3.32,0.39,TLPredictor
s0931_hip_msk,0.78,1.14,3.74,0.38,OneDConcat
s0931_hip_msk,0.85,0.78,2.24,0.56,SwinUNETR
s0931_hip_msk,0.87,0.68,2.24,0.56,TwoDPermuteConcat
s0931_hip_msk,0.86,0.77,2.83,0.52,UNet
s0931_hip_msk,0.82,0.95,3.0,0.48,UNETR
s0931_hip_msk,0.87,0.66,2.24,0.58,AttentionUnet
s0931_hip_msk,0.88,0.63,2.45,0.59,MultiScale2DPermuteConcat
s0774_hip_msk,0.82,0.9,2.24,0.42,TwoDPermuteConcat
s0774_hip_msk,0.81,1.05,3.0,0.41,OneDConcat
s0774_hip_msk,0.8,1.1,3.61,0.39,TLPredictor
s0774_hip_msk,0.86,0.71,2.0,0.56,SwinUNETR
s0774_hip_msk,0.81,1.0,3.16,0.43,UNETR
s0774_hip_msk,0.87,0.72,2.24,0.56,MultiScale2DPermuteConcat
s0774_hip_msk,0.85,0.83,2.83,0.5,UNet
s0774_hip_msk,0.86,0.7,2.24,0.57,AttentionUnet
s0979_hip_msk,0.9,0.69,2.45,0.57,MultiScale2DPermuteConcat
s0979_hip_msk,0.87,0.79,2.83,0.49,UNETR
s0979_hip_msk,0.89,0.69,2.24,0.56,TwoDPermuteConcat
s0979_hip_msk,0.89,0.67,2.0,0.58,AttentionUnet
s0979_hip_msk,0.89,0.71,2.45,0.54,UNet
s0979_hip_msk,0.85,0.92,3.16,0.43,TLPredictor
s0979_hip_msk,0.86,0.86,2.83,0.44,OneDConcat
s0979_hip_msk,0.89,0.71,2.24,0.55,SwinUNETR
s0581_hip_msk,0.87,0.65,2.24,0.58,TwoDPermuteConcat
s0581_hip_msk,0.88,0.7,2.45,0.56,UNet
s0581_hip_msk,0.89,0.58,1.73,0.63,AttentionUnet
s0581_hip_msk,0.86,0.76,2.24,0.52,TLPredictor
s0581_hip_msk,0.88,0.62,2.24,0.59,OneDConcat
s0581_hip_msk,0.88,0.66,2.24,0.58,UNETR
s0581_hip_msk,0.9,0.57,1.73,0.68,SwinUNETR
s0581_hip_msk,0.88,0.64,2.24,0.59,MultiScale2DPermuteConcat
s1373_hip_msk,0.84,0.94,3.0,0.44,TLPredictor
s1373_hip_msk,0.87,0.73,2.83,0.52,UNETR
s1373_hip_msk,0.87,0.69,2.24,0.57,AttentionUnet
s1373_hip_msk,0.87,0.74,2.83,0.53,MultiScale2DPermuteConcat
s1373_hip_msk,0.85,0.81,2.83,0.48,OneDConcat
s1373_hip_msk,0.87,0.8,3.0,0.5,UNet
s1373_hip_msk,0.89,0.65,2.24,0.6,SwinUNETR
s1373_hip_msk,0.87,0.71,2.24,0.54,TwoDPermuteConcat
s1005_hip_msk,0.82,0.98,4.0,0.44,TwoDPermuteConcat
s1005_hip_msk,0.82,0.97,3.74,0.41,UNETR
s1005_hip_msk,0.68,1.61,4.89,0.22,OneDConcat
s1005_hip_msk,0.85,0.86,3.16,0.51,SwinUNETR
s1005_hip_msk,0.77,1.42,4.69,0.3,TLPredictor
s1005_hip_msk,0.83,1.0,3.0,0.46,AttentionUnet
s1005_hip_msk,0.82,1.12,3.61,0.4,MultiScale2DPermuteConcat
s1005_hip_msk,0.82,1.07,4.36,0.44,UNet
s0082_hip_msk,0.87,0.69,2.45,0.54,UNETR
s0082_hip_msk,0.8,0.98,3.0,0.39,OneDConcat
s0082_hip_msk,0.86,0.72,2.24,0.52,TwoDPermuteConcat
s0082_hip_msk,0.89,0.6,1.73,0.63,SwinUNETR
s0082_hip_msk,0.89,0.65,2.24,0.58,UNet
s0082_hip_msk,0.87,0.72,2.24,0.53,MultiScale2DPermuteConcat
s0082_hip_msk,0.88,0.65,1.73,0.58,AttentionUnet
s0082_hip_msk,0.83,0.9,3.0,0.41,TLPredictor
s0963_hip_msk,0.72,1.47,4.12,0.27,TwoDPermuteConcat
s0963_hip_msk,0.75,1.3,4.12,0.35,MultiScale2DPermuteConcat
s0963_hip_msk,0.75,1.41,4.12,0.32,UNet
s0963_hip_msk,0.69,1.8,5.0,0.26,OneDConcat
s0963_hip_msk,0.71,1.65,5.0,0.29,UNETR
s0963_hip_msk,0.79,1.51,4.24,0.44,SwinUNETR
s0963_hip_msk,0.78,1.14,4.0,0.36,AttentionUnet
s0963_hip_msk,0.65,2.0,5.83,0.25,TLPredictor
s0399_hip_msk,0.78,0.96,4.24,0.4,TwoDPermuteConcat
s0399_hip_msk,0.73,1.24,5.2,0.32,OneDConcat
s0399_hip_msk,0.72,1.35,4.69,0.3,TLPredictor
s0399_hip_msk,0.75,1.02,4.36,0.38,AttentionUnet
s0399_hip_msk,0.78,1.11,3.61,0.38,UNet
s0399_hip_msk,0.76,1.2,4.24,0.35,UNETR
s0399_hip_msk,0.78,1.01,4.0,0.43,SwinUNETR
s0399_hip_msk,0.79,1.03,3.74,0.41,MultiScale2DPermuteConcat
s0385_hip_msk,0.72,1.42,4.24,0.28,MultiScale2DPermuteConcat
s0385_hip_msk,0.8,1.01,3.32,0.39,AttentionUnet
s0385_hip_msk,0.56,2.45,8.25,0.18,OneDConcat
s0385_hip_msk,0.72,1.45,4.69,0.28,UNETR
s0385_hip_msk,0.79,1.19,3.74,0.34,UNet
s0385_hip_msk,0.81,1.2,3.61,0.42,SwinUNETR
s0385_hip_msk,0.77,1.27,3.61,0.33,TwoDPermuteConcat
s0385_hip_msk,0.62,2.21,6.93,0.22,TLPredictor
s0626_hip_msk,0.81,0.88,2.83,0.46,AttentionUnet
s0626_hip_msk,0.82,0.84,2.45,0.46,TwoDPermuteConcat
s0626_hip_msk,0.85,0.86,2.24,0.55,SwinUNETR
s0626_hip_msk,0.81,0.91,3.16,0.43,UNETR
s0626_hip_msk,0.75,1.13,3.32,0.33,OneDConcat
s0626_hip_msk,0.78,1.1,3.46,0.36,TLPredictor
s0626_hip_msk,0.82,0.86,2.83,0.45,MultiScale2DPermuteConcat
s0626_hip_msk,0.82,0.92,3.32,0.44,UNet
s1339_hip_msk,0.79,1.0,3.46,0.38,TLPredictor
s1339_hip_msk,0.8,1.08,3.0,0.4,OneDConcat
s1339_hip_msk,0.86,0.68,2.83,0.55,UNETR
s1339_hip_msk,0.89,0.69,2.0,0.64,SwinUNETR
s1339_hip_msk,0.87,0.62,2.0,0.6,AttentionUnet
s1339_hip_msk,0.86,0.75,2.45,0.52,UNet
s1339_hip_msk,0.84,0.83,2.24,0.5,TwoDPermuteConcat
s1339_hip_msk,0.86,0.7,2.24,0.56,MultiScale2DPermuteConcat
s0383_hip_msk,0.82,0.89,2.83,0.44,OneDConcat
s0383_hip_msk,0.86,0.7,2.24,0.54,AttentionUnet
s0383_hip_msk,0.87,0.71,2.24,0.56,SwinUNETR
s0383_hip_msk,0.87,0.66,2.24,0.56,TwoDPermuteConcat
s0383_hip_msk,0.84,0.78,3.0,0.51,MultiScale2DPermuteConcat
s0383_hip_msk,0.79,1.09,3.61,0.34,TLPredictor
s0383_hip_msk,0.85,0.9,2.83,0.48,UNet
s0383_hip_msk,0.82,0.85,3.32,0.43,UNETR
s0924_hip_msk,0.82,0.91,3.0,0.45,UNETR
s0924_hip_msk,0.8,1.0,3.0,0.4,OneDConcat
s0924_hip_msk,0.85,0.82,2.24,0.52,SwinUNETR
s0924_hip_msk,0.83,0.88,2.83,0.48,MultiScale2DPermuteConcat
s0924_hip_msk,0.85,0.78,2.24,0.52,AttentionUnet
s0924_hip_msk,0.84,0.91,2.83,0.45,UNet
