id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse221_vert-9,3.690,10.030,1.550,2.020,1.080,4.100,0.770
sub-verse221_vert-7,4.860,16.410,1.090,1.570,3.880,2.170,1.620
sub-verse221_vert-8,2.310,12.170,2.290,0.130,1.280,0.800,1.580
sub-verse402_split-verse251_vert-10,10.060,23.600,0.500,0.690,2.370,0.900,0.800
sub-verse402_split-verse251_vert-12,8.140,36.920,2.430,1.030,0.610,0.710,0.250
sub-verse402_split-verse251_vert-13,9.640,16.060,0.070,0.930,1.500,1.510,1.000
sub-verse402_split-verse251_vert-14,3.830,18.070,1.270,0.750,1.450,0.300,1.600
sub-verse402_split-verse251_vert-11,3.220,14.190,0.320,0.150,0.050,0.410,0.400
sub-verse402_split-verse251_vert-15,3.220,13.300,1.310,1.960,1.130,1.960,1.230
sub-verse402_split-verse251_vert-16,2.470,6.330,0.610,0.090,1.710,2.670,0.890
sub-verse402_split-verse251_vert-17,2.490,101.730,0.060,0.420,0.300,0.230,0.010
sub-verse402_split-verse251_vert-18,3.790,118.230,1.680,1.190,3.190,1.760,0.720
sub-verse402_split-verse251_vert-19,1.850,19.000,0.990,1.670,6.120,0.070,1.920
sub-verse402_split-verse251_vert-20,2.240,19.550,0.960,0.210,0.650,3.540,0.980
sub-verse402_split-verse251_vert-21,0.400,20.760,0.040,0.910,1.720,0.620,0.770
sub-verse402_split-verse251_vert-22,3.100,8.020,0.450,0.750,0.600,4.640,0.700
sub-verse402_split-verse251_vert-6,0.630,4.620,2.000,2.100,3.360,4.380,2.110
sub-verse402_split-verse251_vert-24,8.930,27.430,0.420,0.310,2.370,2.120,3.840
sub-verse402_split-verse251_vert-7,2.990,14.300,0.650,0.780,1.700,1.060,2.080
sub-verse402_split-verse251_vert-8,0.390,49.480,0.560,0.400,3.470,3.190,2.400
sub-verse402_split-verse251_vert-9,0.710,33.860,2.750,2.870,3.770,4.930,1.270
sub-verse406_split-verse261_vert-10,0.890,116.890,0.510,0.590,1.000,4.330,1.770
sub-verse406_split-verse261_vert-11,4.100,23.780,1.380,0.330,2.570,4.180,2.460
sub-verse406_split-verse261_vert-12,1.660,14.710,0.290,0.220,2.050,4.290,2.880
sub-verse406_split-verse261_vert-13,0.200,1.390,1.350,0.560,0.610,4.660,1.010
sub-verse406_split-verse261_vert-14,13.660,6.670,2.220,0.070,2.860,2.000,2.000
sub-verse406_split-verse261_vert-16,12.330,29.070,0.770,2.530,0.280,3.360,0.450
sub-verse406_split-verse261_vert-21,0.460,5.550,0.690,0.700,3.280,0.680,0.020
sub-verse406_split-verse261_vert-19,5.080,51.490,1.360,0.080,2.090,2.190,2.760
sub-verse406_split-verse261_vert-22,1.090,10.810,0.770,0.120,2.490,1.200,0.420
sub-verse406_split-verse261_vert-20,6.070,12.740,1.290,3.900,0.190,0.630,1.520
sub-verse406_split-verse261_vert-23,1.950,6.750,0.380,5.190,1.690,4.260,0.930
sub-verse406_split-verse261_vert-24,3.020,10.460,1.550,0.190,4.260,0.540,1.450
sub-verse406_split-verse261_vert-25,1.590,13.260,2.760,3.380,2.240,2.480,1.550
sub-verse406_split-verse261_vert-7,10.890,79.010,0.820,3.380,0.210,0.550,0.510
sub-verse409_split-verse266_vert-10,8.970,13.360,1.620,0.180,3.080,2.400,1.130
sub-verse409_split-verse266_vert-11,7.730,44.170,0.770,0.500,0.060,0.190,1.690
sub-verse406_split-verse261_vert-8,2.680,84.540,2.890,0.750,1.610,2.420,1.450
sub-verse406_split-verse261_vert-9,1.760,116.780,0.520,0.680,0.170,0.400,0.620
sub-verse409_split-verse266_vert-13,9.940,31.990,0.240,0.330,5.250,1.280,1.260
sub-verse409_split-verse266_vert-15,10.040,55.760,0.640,3.100,0.740,4.330,0.380
sub-verse409_split-verse266_vert-16,0.840,80.730,1.900,4.370,4.550,0.940,1.410
sub-verse409_split-verse266_vert-17,0.640,3.240,2.510,1.150,0.520,0.920,3.350
sub-verse409_split-verse266_vert-19,1.660,14.160,3.050,3.080,2.500,0.820,3.050
sub-verse409_split-verse266_vert-21,3.500,9.560,1.980,2.230,3.020,2.900,0.530
sub-verse409_split-verse266_vert-22,8.620,19.160,0.960,1.170,3.990,6.220,1.190
sub-verse410_split-verse227_vert-2,3.390,56.330,1.810,0.260,3.860,3.330,1.000
sub-verse409_split-verse266_vert-8,1.440,4.230,2.510,0.300,0.170,0.600,1.470
sub-verse409_split-verse266_vert-9,0.420,12.710,2.650,1.600,4.340,0.360,0.090
sub-verse410_split-verse227_vert-3,7.770,0.240,1.700,1.280,0.880,6.660,2.790
sub-verse410_split-verse227_vert-5,0.460,80.180,0.790,1.570,3.610,0.260,0.230
sub-verse410_split-verse227_vert-4,2.340,88.040,1.870,4.240,1.030,0.590,1.100
sub-verse410_split-verse227_vert-6,2.760,9.110,1.880,0.960,1.080,2.080,0.520
sub-verse410_split-verse227_vert-8,1.460,20.400,1.020,0.870,1.110,0.740,1.030
sub-verse410_split-verse227_vert-7,3.590,7.320,0.140,0.110,1.320,0.700,1.830
sub-verse410_split-verse267_vert-11,2.540,62.460,1.660,0.110,1.710,3.540,0.870
sub-verse410_split-verse267_vert-10,2.730,53.040,0.820,0.180,1.500,0.430,0.510
sub-verse410_split-verse267_vert-12,6.700,18.670,2.860,0.090,1.580,2.810,1.970
sub-verse410_split-verse267_vert-14,2.380,13.820,0.660,0.740,0.690,0.610,1.320
sub-verse410_split-verse267_vert-13,9.120,9.390,3.040,0.570,3.120,1.020,0.850
sub-verse410_split-verse267_vert-16,1.490,67.820,1.510,3.000,1.740,0.350,1.540
sub-verse410_split-verse267_vert-15,0.320,60.430,0.510,2.030,0.660,0.740,0.720
sub-verse410_split-verse267_vert-17,1.960,87.470,1.370,1.370,0.680,1.890,0.920
sub-verse410_split-verse267_vert-19,1.900,14.560,0.400,0.280,1.390,1.330,0.570
sub-verse410_split-verse267_vert-21,1.390,6.470,0.180,2.500,4.300,0.570,0.000
sub-verse410_split-verse267_vert-18,1.580,100.930,0.380,0.390,0.270,1.450,1.110
sub-verse410_split-verse267_vert-20,1.320,4.930,0.590,0.870,3.880,1.000,1.230
sub-verse410_split-verse267_vert-22,4.110,3.100,0.500,0.030,4.530,0.200,0.490
sub-verse410_split-verse267_vert-23,3.260,20.080,0.410,2.520,0.950,2.000,0.890
sub-verse410_split-verse267_vert-8,1.380,65.920,1.630,0.890,5.540,3.740,1.440
sub-verse410_split-verse267_vert-9,0.130,100.550,1.340,1.660,0.010,0.010,1.570
sub-verse410_split-verse267_vert-24,1.510,9.650,1.090,1.230,1.860,2.650,0.330
